id;label;category
10111;Horses, pure-bred;1
10119;Horses, not pure-bred;1
10120;Other equine;1
10210;Bovine, pure-bred;1
10290;Bovine, not pure-bred;1
10310;Swine, pure-bred;1
10391;Swine < 50 kg, not pure-bred;1
10392;Swine > 50 kg, not pure-bred;1
10410;Sheep;1
10420;Goats;1
10511;Domestic fowls < 185 g;1
10519;Other poultry < 185 g;1
10591;Domestic fowls > 185 g;1
10599;Other poultry > 185 g;1
10600;Non-farm animals;1
20110;Bovine carcasses;1
20120;Bone-in beef;1
20130;Boneless beef;1
20210;Bovine carcasses, frozen;1
20220;Bone-in beef, frozen;1
20230;Boneless beef, frozen;1
20311;Swine carcasses;1
20312;Ham and pork shoulder;1
20319;Other pork;1
20321;Swine carcasses, frozen;1
20322;Ham and pork shoulder, frozen;1
20329;Other pork, frozen;1
20410;Lamb carcasses;1
20421;Sheep carcasses;1
20422;Mutton, bone-in;1
20423;Mutton, boneless;1
20430;Lamb carcasses, frozen;1
20441;Sheep carcasses, frozen;1
20442;Mutton, bone-in, frozen;1
20443;Mutton, boneless, frozen;1
20450;Goat meat;1
20500;Horse meat;1
20610;Bovine offal;1
20621;Bovine tongue, frozen;1
20622;Bovine livers, frozen;1
20629;Bovine offal, frozen;1
20630;Swine offal;1
20641;Swine livers, frozen;1
20649;Swine offal, frozen;1
20680;Sheep and equine offal;1
20690;Sheep & equine offal, frozen;1
20710;Whole poultry;1
20721;Whole domestic fowls, frozen;1
20722;Whole turkey, frozen;1
20723;Whole duck, frozen;1
20731;Fatty livers of geese, ducks;1
20739;Other poultry meat;1
20741;Domestic fowl meat, frozen;1
20742;Turkey meat, frozen;1
20743;Duck meat, frozen;1
20750;Poultry livers, frozen;1
20810;Rabbit meat and offal;1
20820;Frog legs;1
20890;Meat and offal, nes;1
20900;Pig and poultry fat;1
21011;Cured pork shoulders and ham;1
21012;Cured swine bellies;1
21019;Cured pork;1
21020;Cured beef;1
21090;Cured meat and offal;1
30110;Live ornamental fish;1
30191;Live trout;1
30192;Live eels;1
30193;Live carp;1
30199;Other live fish;1
30211;Trout;1
30212;Salmon;1
30219;Salmonids, nes;1
30221;Halibut;1
30222;Pollock;1
30223;Sole;1
30229;Flatfish;1
30231;Albacore;1
30232;Yellowfin tuna;1
30233;Bonito;1
30239;Tuna, nes;1
30240;Herring;1
30250;Cod;1
30261;Sardines;1
30262;Haddock;1
30263;Coalfish;1
30264;Mackerel;1
30265;Shark;1
30266;Eels;1
30269;Whole fish, nes;1
30270;Fish roes and livers;1
30310;Pacific salmon, frozen;1
30321;Trout, frozen;1
30322;Atlantic salmon, frozen;1
